"PlanetIdentifier","TypeFlag","PlanetaryMassJpt","RadiusJpt","PeriodDays","SemiMajorAxisAU","Eccentricity","PeriastronDeg","LongitudeDeg","AscendingNodeDeg","InclinationDeg","SurfaceTempK","AgeGyr","DiscoveryMethod","DiscoveryYear","LastUpdated","RightAscension","Declination","DistFromSunParsec","HostStarMassSlrMass","HostStarRadiusSlrRad","HostStarMetallicity","HostStarTempK","HostStarAgeGyr","ListsPlanetIsOn","Probability_of_life"
"11 Com b",0,19.4,3.17970094251908,326.03,1.29,0.231,94.8,412.16951527036,-84.1827022795179,115.91937737692,-193.620872771087,1.22281964290649,"RV",2008,"15/09/20","12 20 43","+17 47 34",88.9,2.7,19,-0.35,4742,5.24649876523733,"Confirmed planets",0
"11 UMi b",0,11.2,3.11709684602843,516.22,1.54,0.08,117.63,433.233616093697,237.056359019588,114.261854955432,314.520956237259,1.96299229644802,"RV",2009,"15/09/20","15 17 05.88899","+71 49 26.0466",122.1,1.8,24.08,0.04,4340,1.31173015338161,"Confirmed planets",0
"14 And b",0,4.8,2.06333767610101,185.84,0.83,0,0,573.470238626685,-95.384355274211,91.8106131031799,1049.36581707823,2.05207233242769,"RV",2008,"15/09/20","23 31 17.41346","+39 14 10.3092",79.2,2.2,11,-0.24,4813,-2.18094198989496,"Confirmed planets",0
"14 Her b",0,4.975,0.538465157643192,1766,2.864,0.359,22.23,225.775235257479,106.852162876795,78.1301914793146,490.095817671709,-0.417975857012459,"RV",2002,"15/09/21","16 10 23","+43 49 18",18.1,1,0.708,0.43,5311,9.27230006756181,"Confirmed planets",0
"14 Her c",0,7.679,0.333757615808644,9886,9.037,0.184,189.076,123.730897834787,332.066927891504,36.0773627536003,984.870395411915,-0.169026452414206,"RV",2006,"15/09/21","16 10 23","+43 49 18",18.1,1,0.708,0.43,5311,-0.323214021321887,"Controversial",0
"16 Cygni B b",2,1.77,0.495552772078493,799.5,1.72,0.689,83.4,138.845836043484,12.0828932508512,45,-673.71663704976,2.85876587378328,"RV",1996,"15/09/22","19 41 48.95343","+50 31 30.2153",21.146,1.07,1.127,0.052,5750,6.8,"Confirmed planets, Planets in binary systems, S-type",1
"18 Del b",0,10.3,1.27887599589383,993.3,2.6,0.08,166.1,371.034125854333,44.065829441328,71.9032365518839,273.710466435026,0.873937207456368,"RV",2008,"15/09/23","20 58 25.93397","+10 50 21.4289",75.3,2.3,8.5,-0.052,4979,0.730065014975091,"Confirmed planets",0
"1RXS1609 b",0,11.6276827302998,1.7,9404.62397086579,19.1478180273862,0.182225565190023,188.109744343655,243.293710066332,132.153535812756,74.8361954477515,2000,0.87137522399241,"imaging",2008,"15/07/29","16 09 30","-21 04 58",145,0.85,1.35,0.339061966439695,4060,0.011,"Confirmed planets",1
"1SWASP J1407 b",0,14,0.729659736018387,10044,25.4622615292606,0.8,-102.14859011154,315.107995430177,14.9988428865898,34.6720435704317,146.882527197571,0.868509611137816,"transit",2007,"15/02/21","14 07 47.93","-39 45 42.7",133,1.26948986430385,0.99,0.0481838115536309,5797.2427790316,0.016,"Controversial",0
"24 Sex b",0,1.99,1.07632823091341,452.8,1.333,0.09,9.2,372.044909320983,0.559022093581987,89.0230098662723,475.2261983463,0.373721252027531,"RV",2010,"15/09/23","10 23 28.370","-00 54 08.09",74.8,1.54,4.9,-0.03,5098,2.7,"Confirmed planets",0
"24 Sex c",0,0.86,0.817154136470723,883,2.08,0.29,220.5,113.757250941291,78.5024456145023,77.5393059108064,-4.89253636056901,0.779391183768635,"RV",2010,"15/09/23","10 23 28.370","-00 54 08.09",74.8,1.54,4.9,-0.03,5098,2.7,"Confirmed planets",1
"2M 044144 b",2,9.8,0.862059497253531,780.60681148051,10.137717384258,-0.275651977531518,153.452073502557,346.327916748668,281.962633695427,93.8788879223108,1800,2.32453000839625,"imaging",2010,"15/09/12","04 41 45.652","+23 01 58.07",145,0.018,3.23133859177546,0.0192662402158474,2100,12.7939372514896,"Confirmed planets, Planets in binary systems, S-type",0
"2M 0746+20 b",0,30,0.97,4640,2.897,0.487,213.098026437202,369.974014889856,233.675422991485,138.2,1511.87051166777,1.8203693622905,"imaging",2010,"12/1/2020","07 46 42.562","+20 00 32.18",12.21,0.12,0.089,0.466546069057873,2205,13.6484529105619,"Confirmed planets",0
"2M 1938+4603 b",1,1.9,0.547697835398988,416,0.92,0.03529438515164,124.049398273681,312.679620955422,-39.6917269038498,60.462401042446,1110.16195382527,3.35098249482517,"timing",2015,"15/06/11","19 38 32.6","+46 03 59",1535.2609239551,0.933603735858205,3.91635649165417,-0.208231339796693,5902.38929202372,12.6566999206559,"Confirmed planets, Planets in binary systems, P-type",0
"2M 2140+16 b",0,20,0.92,7340,3.53,0.26,-71.9943899304519,311.616758870927,154.549890327669,46.2,1129.76626736807,0.610953251996769,"imaging",2010,"12/1/2020","21 40 29","+16 25 18",25,0.08,0.1,0.0348921349963824,2300,5.598294305396,"Confirmed planets",0
"2M 2206-20 b",0,30,1.3,8686,4.48,0,305.981532399754,125.534247803938,247.453339274281,44.3,1706.64861595737,1.01199859408229,"imaging",2010,"12/1/2020","22 06 22.802","-20 47 05.90",26.67,0.13,0.11,-0.114552626782894,2350,10.5258511574192,"Confirmed planets",0
"2M1207 b",0,5,-0.0225728681774632,-6143.27073511317,-4.29819546481276,0.122772419544599,151.761272762897,312.747488705341,219.678423947266,12.0433255539182,1230,0.875906187582568,"imaging",2004,"10/12/2028","12 07 33","-39 32 54",59,0.025,-1.89083705870798,0.116003690333794,2550,8.84912422191578,"Confirmed planets",0
"2MASS 0122-2439 B",0,7.07671304155691,-0.195149235511375,-954.951701577912,-5.57554401146597,0.236856107663326,289.975033123953,160.223859554537,333.475060658507,59.00999914216,511.954084024374,1.10884683828604,"imaging",2013,"15/04/20","01 22 50.938","-24 39 50.65",36,0.4,1.961735798097,-0.192812953255602,3945.36855910615,0.12,"Confirmed planets",0
"2MASS J0219-3925 B",0,13.9,1.44,9444.16175519182,3.32273910209363,-0.0536396608671015,212.781544392853,165.716627566205,172.318724786019,90.7677336616472,1683,0.144865103690438,"imaging",2015,"15/07/24","02 19 22.10","-39 25 22.5",39.4,0.108,0.281,0.23611408323638,3064,20.190901723268,"Confirmed planets",0
"30 Ari B b",2,6.6,1.30238027413364,345.4,1.01,0.18,337,201.2718399546,86.4577110318141,109.846950316862,1240.25713496905,1.03345191781298,"RV",2009,"16/01/10","02 37 00.52363","+24 38 49.9957",41.8,1.16,1.13,0.07,6424,0.91,"Confirmed planets, Planets in binary systems, S-type",1
"38 Vir b",0,4.51,0.254094446035702,825.9,1.82,0.03,281.154575027746,9.43762712069824,113.097493121428,75.4095844706896,674.863134797616,0.0110891830094602,"",2016,"17/02/20","12 53 11.16","-03 33 11.2",1809.24816333352,1.18,1.45,0.07,6557,1.9,"Confirmed planets",1
"4 UMa b",0,7.1,2.78191192279735,269.3,0.87,0.432,23.81,587.964024129722,36.0551866907276,133.195972842145,877.3,1.95932862781376,"RV",2007,"15/09/20","08 40 12.81767","+64 19 40.5700",78.5,1.234,18.11,-0.25,4415,4.604,"Confirmed planets",0
"42 Dra b",0,3.88,3.11425020844652,479.1,1.19,0.38,218.7,545.303977342946,11.0311620964318,146.005004957253,1127.14501454798,2.49572902578183,"RV",2009,"15/09/24","18 25 59.13734","+65 33 48.5288",96.5,0.98,22.03,-0.46,4200,9.49,"Confirmed planets",1
"47 UMa b",0,2.53,0.201766139100534,1078,2.1,0.032,334,87.4201609889082,143.146484152041,42.2062502783605,876.123073819603,1.75920492228429,"RV",1996,"15/09/24","10 59 27.97282","+40 25 48.9202",14.063,1.063,1.24,-0.019,5818.7,6.48,"Confirmed planets",1
"47 UMa c",0,0.54,0.675160197303285,2391,3.6,0.098,295,138.691670808454,124.201452389835,108.298029620695,862.700499142893,0.342593938360032,"RV",2001,"15/09/24","10 59 27.97282","+40 25 48.9202",14.063,1.063,1.24,-0.019,5818.7,6.48,"Confirmed planets",0
"47 UMa d",0,1.64,0.594847656346451,14002,11.6,0.16,110,182.205446725051,79.3776136255877,84.428455649326,944.974412483026,1.48817971657446,"RV",2010,"15/09/24","10 59 27.97282","+40 25 48.9202",14.063,1.063,1.24,-0.019,5818.7,6.48,"Confirmed planets",0
"51 Eri b",2,2,1,15000,14,0.21,90,455.39338886992,75,138,700,1.29640174873643,"imaging",2015,"15/08/14","04 37 36.13234","-02 28 24.7749",29.4,1.75,6.19595868470256,-0.027,5370.60570491361,0.02,"Confirmed planets, Planets in binary systems, S-type",0
"51 Peg b",0,0.46,0.811729111674137,4.231,0.052,0,0,394.484318491311,70.9075945380347,80,1260.3,1.71928455721296,"RV",1995,"15/05/24","22 57 27","+20 46 07",14.7,1.04,1.266,0.2,5793,-1.35003030324474,"Confirmed planets",0
"55 Cnc b",2,0.8306,0.848408706797702,14.65152,0.11522725,0.0034,98,61.44,204.668732943211,44.670228739356,-12.3058813145409,1.71738816662641,"RV",1996,"15/01/26","08 52 35.81093","+28 19 50.9511",12.34,0.96,0.96,0.3,5219,7.63814256831685,"Confirmed planets, Planets in binary systems, S-type",0
"55 Cnc c",2,0.1714,1.10042645493666,44.4175,0.241376,0.02,51,228.4,128.999668481172,89.312417219082,713.157102814071,1.98167853792705,"RV",2002,"15/01/26","08 52 35.81093","+28 19 50.9511",12.34,0.96,0.96,0.3,5219,4.10923037114652,"Confirmed planets, Planets in binary systems, S-type",0
"55 Cnc d",2,3.878,0.903327435831496,4825,5.503,0.019,44,291.78,145.180231671976,99.5590355000145,787.483518960688,3.30443956373996,"RV",2002,"15/01/26","08 52 35.81093","+28 19 50.9511",12.34,0.96,0.96,0.3,5219,5.67309022561798,"Confirmed planets, Planets in binary systems, S-type",0
"55 Cnc e",2,0.0254,0.1746,0.7365515,0.015690907,0.04,72,134.3,201.14348743164,90,582.714293048352,1.97696209954856,"transit",2004,"15/06/08","08 52 35.81093","+28 19 50.9511",12.34,0.96,0.96,0.3,5219,9.48367239354706,"Confirmed planets, Planets in binary systems, S-type",0
"55 Cnc f",2,0.141,0.921420521871729,262,0.788,0.305,166,185.6,95.7319099753794,68.6645046904819,1000.20335227935,2.62493892383707,"RV",2007,"11/6/2007","08 52 35.81093","+28 19 50.9511",12.34,0.96,0.96,0.3,5219,6.5992050442676,"Confirmed planets, Planets in binary systems, S-type",1
"6 Lyn b",0,2.21,1.02034577471247,874.774,2.18,0.059,314.9,321.896081163586,75.5,2,1232.84378303239,1.50652562404349,"RV",2008,"15/09/20","06 30 47.10797","+58 09 45.4809",55.8,1.82,5.2,-0.13,4978,3.45155512503678,"Confirmed planets",0
"61 Vir b",0,0.016,0.182172230486125,4.215,0.050201,0.12,105,163.836502024062,156.324591622076,87.7709220342775,147.206665744749,1.39191005840303,"RV",2009,"15/11/02","13 18 24.31427","-18 18 40.3047",8.52,0.95,0.963,0.05,5571,6.3,"Confirmed planets",0
"61 Vir c",0,0.0573,0.549721868801904,38.021,0.2175,0.14,341,162.500688904712,173.894531831815,93.6416899476284,1040.66249902465,1.35254946016039,"RV",2009,"15/11/02","13 18 24.31427","-18 18 40.3047",8.52,0.95,0.963,0.05,5571,6.3,"Confirmed planets",0
"61 Vir d",0,0.0721,-0.0660599196028087,123.01,0.476,0.35,314,79.0122796265419,226.03884503392,79.007107999523,242.559382904073,1.37089380171723,"RV",2009,"15/11/02","13 18 24.31427","-18 18 40.3047",8.52,0.95,0.963,0.05,5571,6.3,"Confirmed planets",0
"7 CMa b",0,2.46,1.53347722363494,796,1.93,0.22,77,304.507874694507,-8.23870268553203,56.1212229929836,735.243405856051,2.00079098320475,"RV",2011,"15/10/25","06 36 41.038","-19 15 21.17",19.75,1.52,2.3,0.21,4792,-3.88849431001733,"Confirmed planets",1
"70 Vir b",0,7.4,0.934253736570629,116.6926,0.481,0.399,247.612984901229,200.756895455172,67.4936410285782,42.8452268912845,479.1,1.7548541257987,"RV",1996,"15/04/15","13 28 25.80861","+13 46 43.6386",18.1,1.09,1.94,-0.09,5439,7.77,"Confirmed planets",0
"75 Cet b",0,3,2.04189604953769,691.9,2.1,0.117,165,350.737884392102,24.971063956795,59.9569906156213,844.703431790846,1.44250829142987,"RV",2012,"15/11/02","02 32 09.42200","-01 02 05.6236",81.4,2.49,10.5,0,4846,-3.73157448613905,"Confirmed planets",0
"8 Ursae Minoris b",0,1.5,2.47961446510467,93.4,0.49,0.06,213.088274684328,410.966231086061,-32.5920977400422,72.4960759321716,1637.31596649705,2.13771952960989,"RV",2015,"15/09/30","14 56 48.352","+74 54 03.34",159.1,1.8,9.9,-0.03,4847.4,7.06826948955179,"Confirmed planets",0
"81 Cet b",0,5.3,2.44995519712287,952.7,2.5,0.206,175,534.901782738285,-42.167409640648,68.057099081319,693.258783385334,1.03082265676771,"RV",2008,"15/09/20","02 37 42.80105","-03 23 46.2201",92.5,2.4,11,-0.06,4790,-0.811690904641235,"Confirmed planets",0
"83 Leonis B b",2,0.087,0.621418574452737,17.054,0.12186,0.13,196,64.5387810288939,284.9842000499,82.2898710533773,743.715040105283,2.82989545990222,"RV",2004,"15/11/02","11 26 45.32180","+03 00 47.1551",17.79,0.832,0.76,0.36,4740,4,"Confirmed planets, Planets in binary systems, S-type",0
"83 Leonis B c",2,0.36,0.48195407357981,4970,5.4,0.1,38,185.507099339922,245.697341590171,72.731291803378,684.479706062002,2.02526121161617,"RV",2010,"15/11/02","11 26 45.32180","+03 00 47.1551",17.79,0.832,0.76,0.36,4740,4,"Confirmed planets, Planets in binary systems, S-type",0
"91 Aquarii A b",2,3.2,2.00696487414301,181.4,0.7,0.027,177.3,429.518268755738,117.524869560733,98.7847022600313,997.587797065346,3.81850939997923,"RV",2003,"15/11/03","23 15 53.49482","-09 05 15.8546",45.93,1.4,11,-0.03,4665,3.56,"Confirmed planets, Planets in binary systems, S-type",0
"AB Pic b",0,12,1.55,-2289.98690231686,14.3391301123562,-0.0841231729372992,165.263407799682,178.617278641417,-10.9939069662026,87.9058729090559,1750,3.22466426694284,"imaging",2005,"10/12/2006","06 19 12","-58 03 15",45.5,0.666474706050013,7.23530400520867,-0.64,4875,10.2876548120182,"Confirmed planets",1
"alf Ari b",0,1.8,2.11691318153504,380.8,1.2,0.25,89.16,536.247160335412,55.2695524878875,119.33153980228,927.409519634261,2.35302801284181,"RV",2011,"15/11/17","02 07 10.40570","+23 27 44.7032",20.18,1.5,13.9,-0.09,4553,3.65342871350198,"Confirmed planets",0
"alf Tau b",2,6.47,5.62019717349332,628.96,1.46,0.1,287,701.639529884043,355.636369232779,199.697200517504,1047.10824498005,0.72098621840859,"RV",2015,"15/11/17","04 35 55.20","+16 30 35.1",20.43,1.13,45.1,-0.27,4055,6.6,"Controversial, Planets in binary systems, S-type",1
"Alpha Centauri B b",2,0.00356,0.674796968392515,3.2357,0.04,0,289.629465085489,110.755566000547,330.9966225182,68.0625485266603,715.377365316892,2.81109889223014,"RV",2012,"15/11/17","14 39 36.204","-60 50 08.23",1.295,0.907,0.865,0.23,5260,0.671045027416298,"Controversial, Planets in binary systems, S-type",0
"Alpha Centauri B c",2,14.8739168162085,0.08384,1947.16695501552,-22.2735079935845,0.243683314072818,148.895900281124,41.7640982982026,162.260051430189,62.2485200957478,17.614428869271,2.57537102790061,"transit",2015,"15/11/17","14 39 36.204","-60 50 08.23",1.295,0.907,0.865,0.23,5260,10.3201753653417,"Controversial, Planets in binary systems, S-type",1
"BD+14 4559 b",0,1.47,0.746211118389568,268.94,0.777,0.29,87.64,119.324219414141,87.3589906669214,80.339491198573,207.76782922321,1.14990206373496,"RV",2009,"15/11/26","21 13 35.99143","+14 41 21.7994",48.36,0.86,2.54597955715124,0.1,5008,2.42903245595544,"Confirmed planets",1
"BD+15 2940 b",0,1.11,2.1987704769288,137.48,0.539,0.26,302,26.9632723897758,342.914286582899,134.671854859042,125.846276131155,1.96128547900037,"RV",2013,"15/11/23","16 00 22.93827","+15 32 48.9291",508,1.1,14.7,0.28,4796,7.1,"Confirmed planets",0
"BD+20 1790 b",0,6.37,0.281231995805794,7.78287,0.066,0.22,262,243.245825393404,286.366766504212,50.41,1042.52985198719,1.99596476188645,"RV",2015,"15/11/23","07 23 43.592","+20 24 58.66",25.4,0.63,0.182833818425462,0.3,4410,6.95485525399111,"Confirmed planets",0
"BD+20 2457 b",0,21.42,3.08205185338539,379.63,1.45,0.15,207.64,595.72315966622,-195.926549770627,83.7484694276312,1083.4949151179,1.675204289592,"RV",2009,"15/11/26","10 16 44.8635","+19 53 28.974",-1717.59074626831,2.8,13.9034279213834,-1,4137,-2.05875176183576,"Controversial",0
"BD+20 2457 c",0,12.47,3.70332783604382,621.99,2.01,0.18,126.02,587.486203906607,-101.030762064007,76.8854405067372,709.776383693916,1.35602495985235,"RV",2009,"15/11/26","10 16 44.8635","+19 53 28.974",-3165.64475179028,2.8,19.7348113519896,-1,4137,-0.453853344897875,"Controversial",0
"BD+20 274 b",0,4.2,2.59135124809854,578.2,1.3,0.21,108.5,371.601127960636,2.34364270562205,118.989377312915,570.613618993527,0.911376046188443,"RV",2012,"15/11/23","01 43 40.877","+21 00 19.04",1805.13311623088,0.8,17.3,-0.46,4296,1.36066118468087,"Confirmed planets",1
"BD+48 738 b",0,0.91,1.46570933201415,392.6,1,0.2,358.9,317.530263004597,188.037853010158,83.893424063312,1425.70459755028,2.47993832124484,"RV",2011,"15/11/17","02 42 50.463","+49 35 13.08",221.525781666905,0.74,11,-0.2,4414,4.53374039151582,"Confirmed planets",1
"BD+49 828 b",0,1.6,1.49708158636469,2590,4.2,0.35,170,347.942353517675,-19.7453637306772,123.970025949442,823.459158849865,0.755852432758603,"RV",2015,"15/11/23","03 02 33.7362","+49 43 47.974",-521.337844121134,1.52,7.6,-0.19,4943,2.3,"Confirmed planets",1
"BD-08 2823 b",0,0.045,0.0925506315497064,5.6,0.056,0.15,30,270.714312857755,120.787272755598,98.0290089522494,562.064361071682,0.723977182379941,"RV",2009,"15/11/17","10 00 47.72035","-09 31 00.0340",42.5,0.74,1.29981677974546,-0.07,4746,4.5,"Confirmed planets",0
"BD-08 2823 c",0,0.33,0.250399832895063,237.6,0.68,0.19,-233,408.959437480088,-101.37113802812,85.4693426073114,693.850872833449,3.07745485816528,"RV",2009,"15/11/17","10 00 47.72035","-09 31 00.0340",42.5,0.74,0.124988019633675,-0.07,4746,4.5,"Confirmed planets",1
"BD-10 3166 b",0,0.408,0.117199293900163,3.48777,0.0427,0.019,334,50.3143420546966,341.438885698988,85.7469938263208,649.087731530413,1.03120901699004,"RV",2000,"15/11/17","10 58 28.7798","-10 46 13.386",65.19,0.85,0.81,0.382,5393,4.86445746601455,"Confirmed planets",0
"BD-11 4672 b",0,0.53,0.494363179189663,1667,2.28,0.05,231,149.267858044368,111.367287533692,46.2063162365425,1082.66299629542,2.19825787499245,"RV",2014,"15/11/17","18 33 28.83271","-11 38 09.7315",27.3,0.571,0.52,-0.48,4475,4.4,"Confirmed planets",0
"BD-17 63 b",0,5.1,-0.00918803958877801,655.6,1.34,0.54,112.2,98.4143791273351,169.674503767629,83.7471466344245,-190.801731975245,1.3540179170134,"RV",2008,"15/11/17","00 28 34.30654","-16 13 34.8458",35.7,0.74,0.69,-0.03,4714,4.3,"Confirmed planets",0
"beta Cancri b",0,7.8,5.45371046820634,605.2,1.7,0.08,58.9,746.540744251803,340.035747111732,231.117369073797,11.428637575348,2.04775105023764,"RV",2014,"15/11/26","08 16 30.92101","+09 11 07.9579",93,1.7,47.2,-0.29,4092.1,1.85,"Confirmed planets",0
"beta Pic b",0,11,1.65,8167,9.25,0.07,155.85,110.50737295374,31.75,89.01,1600,1.14821078798564,"imaging",2008,"15/08/22","05 47 17","-51 03 59",19.3,1.6,4.4388058589416,-0.174099600967779,9790,0.023,"Confirmed planets",0
"beta Ursae Minoris b",0,6.1,4.68118842845289,522.3,1.4,0.19,307.4,611.998717880768,271.087506004444,214.30754069767,804.901553903003,1.94829116714176,"RV",2014,"15/11/26","14 50 42.32580","+74 09 19.8142",40.14,1.4,38.3,-0.27,4126,2.95,"Confirmed planets",1
"CFBDS 1458 b",0,6.5,-0.63677666912503,9855,2.6,-0.138190713349046,251.402270794925,90.0293685157468,421.419371036123,24.3654047201128,297.019342348974,2.09691336009981,"imaging",2011,"11/3/2008","14 58 29","+10 13 43",23.1,0.02,0.827933175356922,0.0622951623716977,540,13.5436568070893,"Confirmed planets",0
"CFBDSIR2149",3,5.5,1.11461148049984,11961.4675904837,-0.604773985384027,0.136064130579091,212.064120209268,73.6195382701195,335.231109307979,74.4988241557558,408.696993285306,2.97344907165046,"imaging",2012,"12/11/2014","21 49 47","-04 03 08",40,0.761866754989856,5.89072920969673,0.227582146708494,5539.19068814417,10.5412613488908,"Confirmed planets, Orphan planets",0
"CHXR 73 b",0,12,-0.0635508999429921,11475.5584061583,37.3483647238643,0.238797906513357,64.9185646987285,211.652313472004,142.058269948619,63.5376851256664,1068.92047811352,1.9093698150726,"imaging",2006,"11/3/2008","11 06 29","-77 37 33",588.78352635467,0.35,-3.99155769245432,-0.0715680360345786,3840,5.86707172553249,"Confirmed planets",0
"CoRoT-1 b",0,1.03,1.49,1.5089557,0.0254,0,-179.169427582717,510.050468647666,-306.835323962124,85.1,1898,1.82103015023953,"transit",2007,"12/4/2005","06 48 19","-03 06 08",460,0.95,1.11,-0.3,6298,12.8577672382061,"Confirmed planets",0
"CoRoT-10 b",0,2.75,0.97,13.2406,0.1055,0.53,141.097504890743,219.030164778415,81.7083444541874,88.55,600.8,1.36267044001081,"transit",2010,"10/6/2014","19 24 15","+00 44 46",345,0.89,0.79,0.26,5075,7.24170667927903,"Confirmed planets",0
"CoRoT-11 b",0,2.49,1.39,2.994325,0.04351,0,215.003538006797,243.192607969192,27.414789944171,81.41,1593.4,0.729194283124572,"transit",2010,"12/7/2002","18 42 45","+05 56 16",560,1.27,1.37,-0.03,6440,3.85002120655785,"Confirmed planets",0
"CoRoT-12 b",0,0.917,1.44,2.828042,0.04016,0.07,72.6816754137469,346.129678077041,6.26905751953255,85.48,1318.7,1.3903417084947,"transit",2010,"10/6/2014","06 43 04","-01 17 47",1150,1.078,1.116,0.16,5675,0.363949215782531,"Confirmed planets",0
"CoRoT-13 b",0,1.308,0.885,4.03519,0.051,0,-84.7457564129549,413.779882540998,-154.489358922466,88.02,1166.5,0.241696727254059,"transit",2010,"10/7/2012","06 50 53","-05 05 11",1310,1.09,1.01,0.01,5945,12.8080321059635,"Confirmed planets",0
"CoRoT-14 b",0,7.6,1.09,1.51214,0.027,0,2.55626151437161,439.165585073356,-93.0719670200145,79.6,1781.4,0.396960887400264,"transit",2010,"10/12/2022","06 53 42","-05 32 10",1340,1.13,1.21,0.05,6035,4.95840713491737,"Confirmed planets",0
"CoRoT-16 b",0,0.53,1.17,5.35227,0.0618,0.33,95.9533953859318,421.422720014595,-30.0262688499433,85.01,1085.5,2.45707344476292,"transit",2010,"11/6/2014","18 34 06","-06 00 09",840,1.098,1.19,0.19,5650,5.08359705724919,"Confirmed planets",0
"CoRoT-17 b",0,2.45,1.02,3.768125,0.0461,0,93.401108953649,352.136855920127,-29.5394231514913,88.34,1486.4,1.2286698958992,"transit",2010,"11/5/2011","18 34 47","-06 36 44",920,1.04,1.59,0.0560805629623051,5740,8.20255992690658,"Confirmed planets",0
"CoRoT-18 b",0,3.47,1.31,1.9000693,0.0295,0.08,295.825189343059,205.765727071539,102.2235675945,86.5,1396,1.72283341460663,"transit",2011,"12/4/2005","06 32 41","-00 01 54",870,0.95,1,-0.1,5440,-2.72700898433798,"Confirmed planets",0
"CoRoT-19 b",0,1.11,1.45,3.89713,0.0518,0.047,-24.9654561470695,393.191250384447,-96.0763400377369,87.61,1515.3,0.232877556465499,"transit",2011,"11/7/2005","06 28 08","-00 10 15",800,1.21,1.65,-0.02,6090,3.15419378750469,"Confirmed planets",0
"CoRoT-2 b",0,3.31,1.465,1.7429964,0.0281,0,123.530133698445,172.801745516981,78.6842088051698,87.84,1392.7,1.03145794907352,"transit",2007,"12/4/2005","19 27 07","+01 23 02",300,0.97,0.902,0.123823690846646,5575,3.41836222578011,"Confirmed planets",0
"CoRoT-20 b",0,4.24,0.84,9.2,0.0902,0.562,85.255037078917,399.389929349655,-13.4811210161627,88.21,1002,1.29496494888312,"transit",2011,"11/6/2014","06 30 53","+00 13 37",1230,1.14,1.02,0.14,5880,0.1,"Confirmed planets",0
"CoRoT-21 b",0,2.26,1.3,2.72474,0.0417,0,83.1914648093376,430.66661934217,-139.247079198036,86.8,1867,1.38509779044123,"transit",2011,"11/12/2013","06 44 12.64","-00 17 57.06",137.263924125014,1.29,1.945,-0.20591145913114,6200,6.8319275766606,"Confirmed planets",0
"CoRoT-22 b",0,0.0383853,0.435365216,9.75598,0.092,0.077,210,214.563721429444,174.765364935451,89.749,885,1.92563671954796,"transit",2014,"14/08/28","18 42 40.109","+06 13 08.97",592,1.099,1.136,0.17,5939,3.3,"Confirmed planets",0
"CoRoT-23 b",0,2.8,1.05,3.6314,0.0477,0.16,301.532810184488,326.239928430768,34.5057458238535,85.7,1508.9,1.10539226152739,"transit",2011,"11/9/2020","18 39 08","+04 21 28",600,1.14,1.61,0.05,5900,7.59413116821085,"Confirmed planets",0
"CoRoT-24 b",0,-2.15468213129039,0.33,5.1134,0.056,0,-14.3107872747098,283.718804808014,60.0973761573528,86.5,1070,1.96112056583083,"transit",2014,"14/06/08","06 47 41","-03 43 10",600,0.91,0.86,0.3,4950,11,"Confirmed planets",0
"CoRoT-24 c",0,0.088,0.44,11.759,0.098,0,159.119266721526,123.091695615869,164.804415751241,89,850,1.17154538677754,"transit",2014,"14/06/08","06 47 41","-03 43 10",600,0.91,0.86,0.3,4950,11,"Confirmed planets",0
"CoRoT-25 b",0,0.27,1.08,4.86069,0.0578,0,126.168323624597,281.746278427768,-42.6710919839563,84.5,1121.85079951093,2.00537424110939,"transit",2013,"13/05/24","18 42 31.13","+06 30 50.04",1000,1.09,1.19,-0.01,6040,10.9468411862869,"Confirmed planets",0
"CoRoT-26 b",0,0.52,1.26,4.20474,0.0526,0,153.729333346957,307.260152849444,-56.5283520177852,86.8,875.662336202034,1.57384138832373,"transit",2013,"13/05/24","18 39 00.13","+06 58 11.71",1670,1.09,1.79,0.01,5590,8.98255814907026,"Confirmed planets",0
"CoRoT-27 b",0,10.39,1.007,3.57532,0.0476,0.0675264756403337,197.821609380715,145.417637547006,150.892536256945,86.7,1500,1.19601744152509,"transit",2014,"14/01/07","18 33 59","+05 32 19",-207.177799297286,1.05,1.08,0.1,5900,4.21,"Confirmed planets",0
"CoRoT-28 b",0,0.484,0.955,5.20851,0.059,0.047,230.228673020997,212.531875273398,75.3478092562068,88.1,1287.31799350714,1.54601801710142,"transit",2015,"15/04/07","18 34 45.21","+05 34 25.72",560,1.01,1.78,0.15,5150,12,"Confirmed planets",0
"CoRoT-29 b",0,0.85,0.9,2.85057,0.039,0.082,103.437254403124,353.933225506804,57.7395302533035,87.3,1669.94811445629,0.387688108925598,"transit",2015,"15/04/07","18 35 36.50","+06 28 46.99",765,0.97,0.9,0.2,5260,4.5,"Confirmed planets",0
"CoRoT-3 b",0,21.66,1.01,4.2568,0.057,0,92.6509859373891,248.927815471251,20.2268356511989,85.9,1554.7,1.60412292940202,"transit",2008,"12/4/2005","19 28 13","+00 07 19",680,1.37,1.56,-0.02,6740,6.069432227425,"Confirmed planets",0
"CoRoT-4 b",0,0.72,1.19,9.20205,0.09,0,123.668672795503,137.237637652384,68.5640851646975,90,975.6,1.42423056095482,"transit",2008,"8/11/2027","06 48 47","-00 40 22",-359.211588843523,1.1,1.15,0.05,6190,7.49538648417989,"Confirmed planets",0
