"PlanetIdentifier","TypeFlag","PlanetaryMassJpt","RadiusJpt","PeriodDays","SemiMajorAxisAU","Eccentricity","PeriastronDeg","LongitudeDeg","AscendingNodeDeg","InclinationDeg","SurfaceTempK","AgeGyr","DiscoveryMethod","DiscoveryYear","LastUpdated","RightAscension","Declination","DistFromSunParsec","HostStarMassSlrMass","HostStarRadiusSlrRad","HostStarMetallicity","HostStarTempK","HostStarAgeGyr","ListsPlanetIsOn","Probability_of_life"
"Kepler-1613 b",0,-15.302664677977,0.186,1.5184299,-13.8513654047327,-0.0459485302399358,302.424124074321,229.724242434042,152.153682280996,87.7832269539093,875.390357451895,1.45914317776342,"transit",2016,"16/05/10","19 19 30","+43 25 15",1772.50140568555,1.08,1.12,0.01,6005,-8.59406174641389,"Confirmed planets",0
"Kepler-1614 b",0,11.6151371741864,0.133,3.9466141,8.60692599188347,0.159893158648808,288.055376091342,9.34539382317419,231.858881298205,71.0803237605086,847.336121421833,3.40972210701346,"transit",2016,"16/05/10","18 59 29","+49 46 33",-885.739777780487,0.79,0.76,-0.17,5121,16.5466841243855,"Confirmed planets",0
"Kepler-1615 b",0,24.6719762568168,0.184,47.3126192,-1.04106214741921,0.141429007857399,252.649395524176,186.439038682284,200.025497115286,99.2310480996819,1315.82598031219,-0.122738326157981,"transit",2016,"16/05/10","19 05 26","+42 13 39",553.053871958007,1.04,1.05,0.06,5865,7.43527690198883,"Confirmed planets",0
"Kepler-1616 b",0,-2.17372492079437,0.091,6.76284377,18.3148384030043,0.764545592135042,-14.1279697307995,135.889888163614,0.949006292635801,40.4512329871681,-282.052536724775,1.60053360128776,"transit",2016,"16/05/10","19 06 10","+45 18 18",1701.92599951489,1.21,1.34,0.02,6266,6.57198039281619,"Confirmed planets",0
"Kepler-1617 b",0,5.57936020622867,0.107,27.4785572,-4.06194820619584,0.285965191594988,119.296606862981,325.02026932321,8.66204531772742,86.8182759450759,1144.39302881483,1.00673528843637,"transit",2016,"16/05/10","19 11 45","+46 25 07",894.384343161412,1.15,1.22,0.01,6167,7.96397383736146,"Confirmed planets",0
"Kepler-1618 b",0,-2.92363600800323,0.112,6.10826019,-2.82636226925525,-0.0143517262967906,31.3289505826385,247.093517463701,12.1566745729068,110.487577550049,124.031986013847,0.601699953197878,"transit",2016,"16/05/10","19 40 42","+45 55 51",1476.32843481161,1.41,1.65,0.04,6620,1.32482276944543,"Confirmed planets",0
"Kepler-1619 b",0,-2.25513782500373,0.068,23.6225913,2.09763821112662,0.150574381228223,-42.3747816703143,293.692132197514,23.3230250459696,110.401713405868,220.312605882521,0.760823473892715,"transit",2016,"16/05/10","19 02 49","+44 25 19",1388.71703013506,1,1,-0.07,5852,-0.249064331610284,"Confirmed planets",0
"Kepler-162 b",0,-2.46228144389066,0.11482,6.919798,25.2876538889479,0.394064565853147,-4.95213185228596,88.8421945420036,178.719108384497,83.4276204473509,345.036384384211,0.126354712476728,"transit",2014,"14/02/26","19 49 06","+43 43 26",773.85,0.953,0.958,0.317554974691367,5816,5.27054429533031,"Confirmed planets",0
"Kepler-162 c",0,4.61690785181353,0.27612,19.446355,-12.0448775191768,-0.125478884640225,127.510709087511,210.286293609118,80.8055598957641,89.4734174790507,939.687479808167,1.0568221401677,"transit",2014,"14/02/26","19 49 06","+43 43 26",773.85,0.953,0.958,0.121827738717942,5816,10.3305899440317,"Confirmed planets",0
"Kepler-1620 b",0,6.97870288132604,0.144,101.951829,25.5621603213964,0.304421697490866,-19.4128105641539,150.830984030745,48.3076075524256,29.3152061888946,597.450544627109,2.97610860209521,"transit",2016,"16/05/10","19 49 05","+46 55 42",2218.12159120657,1.15,1.23,0.03,6157,4.80597639994604,"Confirmed planets",0
